<<<<<<< HEAD
date,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD
2013/2/17,334,0,175,66902,0,22717.47801,0,49745,20423,12373.622,8754,4375.72799,164343,1195,53,0,0,1,0,0,133,444,0,0,16732.55798,11993,0,0,12054.48404,5425.322,0,0,1414.717993
2013/2/18,182,0,111,51503,0,19537.965,0,47713,17738,10392.68601,7271,3716.451001,146894,893,64,0,0,2,0,0,94,387,1952,0,17019.63011,9869,0,0,10167.53306,4064.90101,0,0,1173.406999
2013/2/19,237,0,104,43284,0,16208.673,0,40778,15049,8315.74899,5607,3008.794,122032,712,38,0,0,1,0,0,90,359,2026,0,15522.62797,7897,0,0,7843.538969,3496.86002,0,0,1027.559005
2013/2/20,239,0,118,47312,0,17065.727,0,42701,17373,8713.453,6250,3458.153995,129748,823,46,0,0,3,0,0,112,329,2316,0,15074.81802,8560,0,0,8211.301005,4151.197022,0,0,1198.511993
2013/2/21,164,0,96,41292,0,14649.607,0,36251,14300,8158.234,4745,2659.369002,107321,762,37,0,0,1,0,0,70,303,2884,0,15218.02304,6854,0,0,7423.853983,3486.503988,0,0,1035.518003
2013/2/22,181,0,90,46619,0,15167.90502,0,36216,16639,8218.844,5931,2745.509001,109427,896,30,0,0,1,0,0,165,297,4636,0,17697.89506,6695,0,0,8862.193054,3824.272995,0,0,1340.250003
2013/2/23,275,0,141,69259,0,20792.97601,0,52284,21876,12281.88699,7977,4076.964996,165049,1099,60,0,0,4,0,0,162,464,7573,0,19033.62801,10854,0,0,12487.79807,5839.21004,0,0,1307.885
2013/2/24,390,0,192,77335,0,24415.13103,0,56132,22905,14303.829,9936,4911.931004,185535,1186,63,0,0,12,0,0,176,500,0,0,18946.18599,13474,0,0,14674.94007,5942.531018,0,0,1695.577992
2013/2/25,220,0,112,48718,0,17073.48698,0,42106,15494,9355.790004,6241,2927.986022,124754,805,68,0,0,7,0,0,70,342,2081,0,14386.16291,8422,0,0,8917.479995,3969.830025,0,0,1040.140002
2013/2/26,170,0,83,41366,0,15010.861,0,36171,14537,7939.966996,5173,2708.784002,109465,649,39,0,0,13,0,0,58,299,1926,0,15373.64406,7350,0,0,7546.365001,3654.743005,0,0,891.6430055
2013/2/27,173,0,82,44791,0,15506.84399,0,38158,16441,7872.948,5616,3141.981,116218,816,54,0,0,19,0,0,124,278,2738,0,16290.14496,7426,0,0,7598.254984,4026.511993,0,0,1031.313997
2013/2/28,176,0,104,42710,0,15138.08495,0,37557,14490,8785.882,4956,2831.503001,111918,697,46,0,0,18,0,0,66,389,3602,0,14285.64099,8030,0,0,7743.117933,3590.868016,0,0,982.195
2013/3/1,198,0,125,56760,0,18220.95901,0,50716,20165,10891.14802,6950,3855.361003,152910,1037,49,0,0,25,0,0,143,439,5561,0,21188.51797,11094,0,0,12374.51606,4659.632,0,0,1536.031002
2013/3/2,353,0,209,86736,0,24611.64,0,73145,26680,15992.10701,10019,5170.328022,228251,1198,68,0,0,53,0,0,198,594,8161,0,24000.71213,17706,0,0,16380.87509,6597.668003,0,0,1732.875003
2013/3/3,383,0,238,87516,0,28286.35499,0,74686,26544,17358.384,11690,6147.89397,236046,1254,75,0,0,59,0,0,134,701,0,0,22957.83302,19073,0,0,18187.60901,6603.171045,0,0,1880.333996
2013/3/4,188,0,127,55912,0,20356.70798,0,53750,18023,11730.717,7489,3799.938001,161101,976,65,0,0,30,0,0,79,433,1949,0,19374.24916,11864,0,0,10869.80198,4255.591986,0,0,1274.672998
2013/3/5,139,0,94,51642,0,16909.35803,0,46642,16133,9374.95,5993,3188.837001,137837,861,57,0,0,45,0,0,104,397,2038,0,16526.5221,9922,0,0,9323.364069,3894.91599,0,0,1068.046001
2013/3/6,233,0,88,50242,0,17824.10002,0,45721,18463,9027.87099,6353,3530.536996,138260,981,54,0,0,43,0,0,168,490,2527,0,17772.40496,9368,0,0,8976.226003,4420.138,0,0,1184.304003
2013/3/7,201,0,100,46922,0,15233.154,0,40193,15550,8819.298,5152,2847.912999,116964,810,35,0,0,29,0,0,89,397,2573,0,15972.83802,8312,0,0,8102.016018,3745.68698,0,0,1051.620998
2013/3/8,166,0,89,51941,0,15648.71101,0,40153,16555,8609.267,5442,3067.045001,126782,821,44,0,0,30,0,0,223,320,5936,0,17607.64996,7487,0,0,9923.214022,4386.603976,0,0,1369.188994
2013/3/9,272,0,171,78980,0,21947.73498,0,58473,23473,13512.501,8641,4693.131,179740,1168,63,0,0,36,0,0,150,532,7624,0,20406.66497,12859,0,0,12916.68095,6057.97297,0,0,1542.810997
2013/3/10,321,0,208,78363,0,25344.364,0,59179,23395,14659.255,9981,4948.192,188374,1197,62,0,0,47,0,0,180,478,0,0,18953.57999,14042,0,0,14451.37814,5940.49102,0,0,1735.495996
2013/3/11,196,0,92,50501,0,18189.346,0,43358,16493,9886.70702,6431,3256.640001,129310,707,56,0,0,36,0,0,70,325,1833,0,15164.973,8704,0,0,8940.910014,3725.352985,0,0,1103.204001
2013/3/12,149,0,111,42810,0,15095.216,0,37032,14588,8036.663,5197,2982.358,110553,631,39,0,0,30,0,0,112,352,2121,0,13427.72003,7045,0,0,7071.407009,3501.82497,0,0,938.189
2013/3/13,175,0,95,45023,0,16368.494,0,40020,16827,8083.562,5906,3221.52,113734,886,27,0,0,42,0,0,144,276,2165,0,14739.40896,7171,0,0,7867.774027,4002.23399,0,0,1095.670999
2013/3/14,174,0,100,39000,0,14730.508,0,32759,13784,7461.858,4676,2619.853001,97180,755,42,0,0,27,0,0,78,296,2268,0,14186.0261,6167,0,0,6875.926001,3337.871,0,0,1023.377999
2013/3/15,172,0,80,50897,0,16425.94202,0,42240,17758,8957.02,6128,3152.985997,121756,937,49,0,0,24,0,0,197,388,5060,0,18044.76019,7819,0,0,9997.117011,4305.530995,0,0,1489.734001
2013/3/16,370,0,168,76480,0,23632.95898,0,63682,24927,13833.242,9318,7682.30299,196087,1109,51,0,0,37,0,0,168,614,8109,0,20405.66597,13643,0,0,13590.08299,6233.33904,480,0,1612.841998
2013/3/17,360,0,192,82922,0,27807.539,0,66896,25339,15852.167,11154,6624.252,213852,1281,70,0,0,41,0,0,199,579,0,0,20549.18992,15553,0,0,15441.77398,6557.96102,328,0,1840.702
2013/3/18,228,0,109,47279,0,19404.313,0,44675,16948,9986.784,6814,3848.665988,139653,855,42,0,0,31,0,0,65,405,1581,0,15073.45901,9393,0,0,8626.865018,4138.716021,38,0,1088.999998
2013/3/19,259,0,85,42741,0,16149.74899,0,40183,15283,8466.103004,5636,3421.257995,122446,698,40,0,0,24,0,0,106,406,1779,0,16344.20192,7698,0,0,7693.962982,3599.544,73,0,888.427006
2013/3/20,181,0,101,47078,0,17250.20897,0,45118,18318,8034.601,6306,4067.915001,134763,791,34,0,0,37,0,0,148,427,2233,0,14712.96397,8108,0,0,8149.442001,4170.403,75,0,1103.473004
2013/3/21,206,0,78,38349,0,15342.804,0,36121,14709,7491.505,5036,3376.029999,110724,770,50,0,0,22,0,0,103,359,2739,0,15246.18996,6670,0,0,7021.581991,3519.942999,104,0,1092.074004
2013/3/22,237,0,73,50035,0,15243.59997,0,38594,17845,7947.226,5777,4377.731996,118742,942,33,0,0,29,0,0,160,301,4587,0,17167.91899,7142,0,0,8947.814017,4324.10401,232,0,1363.05899
2013/3/23,344,0,132,75968,0,21902.91,0,59222,24374,12928.36403,8685,7044.246,181659,1170,76,0,0,49,0,0,197,503,7961,0,18677.82495,11730,0,0,12476.98311,6195.199004,449,0,1447.475992
2013/3/24,313,0,162,75445,0,24180.8039,0,56522,23287,13606.59197,9822,5792.776,187229,1133,68,0,0,42,0,0,167,436,0,0,17413.32691,12883,0,0,13416.9721,6027.34606,321,0,1526.820009
2013/3/25,227,0,111,49999,0,17674.252,0,42234,17325,8720.502,6433,3785.628008,131191,832,37,0,0,37,0,0,105,379,2105,0,15029.38,8110,0,0,8110.58896,4019.578994,93,0,1001.679999
2013/3/26,183,0,83,42925,0,14769.98798,0,35316,16443,7164.40799,5414,3236.651997,115064,730,44,0,0,28,0,0,138,337,4173,0,11727.51395,6784,0,0,6320.350016,3978.466964,108,0,850.857004
2013/3/27,216,0,96,48816,0,16657.19297,0,40165,22602,7207.61999,6616,3969.45499,131166,740,38,0,0,26,0,0,155,377,2909,0,11380.13105,7379,0,0,6657.21602,5133.036994,111,0,1274.496989
2013/3/28,232,0,96,55021,0,16780.02697,0,39539,24350,8118.287004,7016,4238.794005,142282,766,35,0,0,35,0,0,128,349,4806,0,13092.24603,8017,0,0,6570.192011,6164.063,213,0,1444.660001
2013/3/29,317,0,137,61859,0,16729.64802,0,38905,22635,8455.535,7468,5139.446002,138065,939,54,0,0,32,0,0,147,470,6236,0,12440.10396,8852,0,0,8595.298999,6347.477016,335,0,1354.622999
2013/3/30,336,0,158,76877,0,20997.36198,0,59507,21678,12877.178,8137,6789.321,184463,1294,56,0,0,46,0,0,205,493,7199,0,17847.59199,14133,0,0,11989.50806,5809.49501,728,0,1040.899999
2013/3/31,306,0,193,77181,0,24308.85492,0,60644,22014,14166.03,9347,5675.35099,193663,1231,69,0,0,65,0,0,153,449,0,0,18101.77399,14526,0,0,12932.01307,5612.93298,349,0,1120.684001
2013/4/1,244,0,141,60003,0,22030.397,0,59754,20547,12558.66697,8316,4674.215001,185526,1034,43,0,0,35,0,0,69,439,1793,0,20948.11593,13536,0,0,11456.62101,4548.565,64,0,1055.867
2013/4/2,235,0,118,54001,0,18770.998,0,54174,18358,10432.91,6797,4037.354003,162516,897,53,0,0,30,0,0,116,428,2179,0,17594.18494,11852,0,0,10417.98802,3770.515003,62,0,892.877998
2013/4/3,188,0,89,55428,0,19051.261,0,52740,19411,9751.01799,6803,4531.658003,158484,924,53,0,0,41,0,0,143,393,2392,0,17686.41186,10776,0,0,9475.532042,4410.55198,86,0,873.6430003
2013/4/4,193,0,92,46133,0,16338.249,0,42335,15572,8514.446996,5149,3854.699,128403,762,61,0,0,18,0,0,118,406,2513,0,15746.31298,9389,0,0,8505.154995,3687.002987,137,0,811.520005
2013/4/5,219,0,87,54537,0,16299.34005,0,42893,17628,9438.98,5852,4672.634,130952,874,54,0,0,36,0,0,167,397,4976,0,20537.614,11001,0,0,10348.49298,4131.05,289,0,1004.671
2013/4/6,341,0,182,85635,0,23135.26602,0,65129,25030,14187.958,8930,8094.94,207627,1213,58,0,0,32,0,0,245,602,8065,0,23106.061,16044,0,0,13598.484,6389.718004,562,0,1216.787
2013/4/7,345,0,196,85682,0,27236.49108,0,65394,25301,15941.52,10572,6521.829,217132,1230,53,0,0,50,0,0,160,535,0,0,20998.97693,17984,0,0,15874.58291,6319.88296,335,0,1186.093997
2013/4/8,223,0,120,52047,0,18608.311,0,46974,16770,10111.33002,6591,4119.209999,148646,894,40,0,0,39,0,0,101,472,1693,0,14505.46699,10882,0,0,9180.722956,3726.035978,68,0,838.739
2013/4/9,196,0,105,47664,0,16091.92599,0,39987,14774,8530.881004,5304,3538.401,128563,866,44,0,0,31,0,0,94,319,2091,0,16580.30898,9196,0,0,7886.891002,3561.735984,51,0,860.6579977
2013/4/10,199,0,105,49143,0,16693.611,0,41838,17468,8192.36199,5926,4002.398999,128249,929,46,0,0,27,0,0,164,366,2357,0,14642.17799,9327,0,0,8164.493956,3973.927003,88,0,945.404003
2013/4/11,165,0,98,47706,0,15182.69697,0,36878,14694,8043.862,4756,3673.195016,133566,973,44,0,0,25,0,0,88,342,2747,0,15014.20803,7747,0,0,6950.238996,3419.912,128,0,982.299998
2013/4/12,239,0,102,55103,0,15295.96302,0,39870,16546,8531.25098,5751,4909.360999,119148,863,60,0,0,29,0,0,139,364,5519,0,17962.60697,8479,0,0,9726.889066,4167.412993,302,0,1287.483003
2013/4/13,307,0,161,78856,0,21598.36303,0,56316,23140,12908.271,8345,7514.91003,182298,1136,68,0,0,46,0,0,212,465,7787,0,18232.88304,14377,0,0,12267.05098,5403.73997,560,0,1443.279
2013/4/14,357,0,187,81527,0,25094.88001,0,58948,23543,14594.74498,9945,6313.942998,199989,1161,63,0,0,45,0,0,170,549,0,0,18499.07499,15565,0,0,14216.17187,5573.70697,334,0,1741.626993
2013/4/15,215,0,105,52278,0,18994.583,0,44373,16801,10137.304,6613,4127.436,141263,912,47,0,0,41,0,0,71,374,2143,0,15273.94901,10226,0,0,9598.817041,3867.843003,71,0,1179.526001
2013/4/16,221,0,116,50665,0,17362.891,0,45225,16303,9404.714,6254,4023.893,139074,881,23,0,0,37,0,0,105,445,2014,0,16476.335,10284,0,0,9545.88104,3818.975012,47,0,1105.191001
2013/4/17,214,0,90,48816,0,17636.59999,0,42197,18094,8763.861996,6357,4371.600001,144229,922,39,0,0,34,0,0,145,352,2443,0,16576.57097,9835,0,0,8594.797006,3988.45398,80,0,1211.635001
2013/4/18,166,0,68,41733,0,15266.875,0,34874,14322,8194.984996,4872,3580.220996,120743,789,26,0,0,26,0,0,104,417,2666,0,14731.39997,7553,0,0,7495.189993,3265.117001,84,0,947.721999
2013/4/19,268,0,70,51501,0,16040.26896,0,39745,16648,9017.997,5836,4799.615004,120012,1034,37,0,0,34,0,0,141,354,4815,0,18017.59198,8087,0,0,9507.357984,4060.083022,311,0,1252.790995
2013/4/20,366,0,190,76492,0,21825.18,0,57204,23846,13356.20703,8982,7306.080998,186817,1240,51,0,0,46,0,0,201,536,7412,0,19941.43103,13733,0,0,12551.31599,5716.121986,515,0,1557.50101
2013/4/21,361,0,199,77845,0,26096.74102,0,60431,24814,15573.165,10589,6187.155011,203746,1276,69,0,0,52,0,0,150,517,0,0,19526.803,15929,0,0,14540.00707,5890.253992,251,0,1677.906994
2013/4/22,206,0,104,47858,0,18352.981,0,43780,16751,10232.786,6694,4074.556,138701,931,32,0,0,38,0,0,101,351,1674,0,15155.86497,9849,0,0,8992.139009,3813.239006,59,0,1135.755001
2013/4/23,203,0,107,43351,0,16632.44497,0,41287,15475,8877.497,5807,3675.571,126857,896,38,0,0,19,0,0,97,366,1967,0,15099.19999,8714,0,0,8319.521975,3365.663004,46,0,897.9350005
2013/4/24,268,0,101,47338,0,16730.10398,0,42082,17442,8551.534,6118,4067.76,125819,973,39,0,0,36,0,0,127,375,2575,0,16448.00495,8470,0,0,7886.022994,3931.814,114,0,1062.944997
2013/4/25,244,0,91,42482,0,14878.694,0,34759,14590,7924.317,4779,3483.254003,108821,808,31,0,0,20,0,0,79,345,2471,0,14354.50803,6906,0,0,7251.42798,3417.16699,121,0,934.250998
2013/4/26,194,0,87,51952,0,15935.37704,0,36166,16443,8601.293,5992,4561.394,117492,924,44,0,0,27,0,0,131,342,5196,0,18678.6059,6739,0,0,9402.678013,4007.399,257,0,1240.809996
2013/4/27,298,0,153,78796,0,21680.035,0,55782,22549,12832.29801,8277,7126.746,180046,1100,48,0,0,42,0,0,157,556,7486,0,17957.89596,12022,0,0,12145.84897,5759.616958,515,0,1335.896996
2013/4/28,348,0,202,83114,0,25685.65497,0,57879,24204,14489.697,10027,6232.167,197889,1140,53,0,0,47,0,0,167,529,0,0,18906.98596,14453,0,0,14644.29801,5602.167,354,0,1656.502999
2013/4/29,264,0,105,48706,0,18232.122,0,42202,16189,9441.506,6289,3763.110991,142972,948,60,0,0,46,0,0,83,397,1828,0,15102.67502,9045,0,0,8312.002013,3722.928994,120,0,967.529002
2013/4/30,198,0,99,46729,0,15844.914,0,40010,16337,9026.345,5677,3852.739,128434,865,46,0,0,38,0,0,184,403,3532,0,16870.93394,8543,0,0,8383.902962,3821.07599,297,0,994.556002
2013/5/1,330,0,207,75080,0,23562.21901,0,67713,25021,14765.52,9139,6857.083,217274,1342,65,0,0,53,0,0,185,642,5850,0,21064.79394,16146,0,0,14286.17595,6256.73698,507,0,1628.10801
2013/5/2,278,0,119,51235,0,18009.849,0,46745,16765,9985.768,6210,4266.350001,147836,901,41,0,0,26,0,0,104,473,2627,0,18399.034,9857,0,0,9714.145061,3842.192005,89,0,1186.121996
2013/5/3,186,0,125,56825,0,18154.389,0,47378,18885,10587.424,6307,5362.587003,155859,1050,52,0,0,38,0,0,135,512,5046,0,21085.02202,9393,0,0,11378.7,4293.376005,247,0,1391.753003
2013/5/4,383,0,199,82517,0,24772.47412,0,67928,25054,15583.73799,9223,7513.481998,218874,1258,54,0,0,39,0,0,202,578,6972,0,21334.01095,15537,0,0,13927.77995,6299.53296,466,0,1624.497994
2013/5/5,407,0,214,91697,0,31616.8071,0,73366,27558,18570.216,11773,6822.148,250530,1259,62,0,0,52,0,0,131,645,0,0,21989.97404,17828,0,0,16896.57986,6754.75197,304,0,1792.074011
